city,site,id,Park_Name,Land_Use,name,Parent,Passive,Private,Disturbed
Detroit,DS6,DP12,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS7,DP13,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS7,DP14,,UNDISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS8,DP15,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS8,DP16,,UNDISTURBED,^A`u,Anthropogenic,Passive,Private,Disturbed
Detroit,DS9,DP17,,DISTURBED,^Au,Anthropogenic,Passive,Private,Disturbed
Detroit,DS9,DP18,,UNDISTURBED,^A1u,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS1,NP1,,Vacant Lot,^A1,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS10,NP10,,Vacant Lot,^C,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS11,NP11,,Vacant Lot,,,Passive,Private,Disturbed
New Orleans,NS11,NP11,,Vacant Lot,,,Passive,Private,Disturbed
New Orleans,NS12,NP12,Lafitte Greenway,Greenway,^A,Anthropogenic,Passive,UPublicK,Disturbed
New Orleans,NS13,NP13,Lafitte Greenway,Greenway,^A1,Anthropogenic,Passive,UPublicK,Disturbed
New Orleans,NS14,NP14,,Vacant Lot,^Au,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS15,NP15,,Vacant Lot,^C1u,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS16,NP16,,Vacant Lot,^A1u,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS17,NP17,,Vacant Lot,^A1u,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS18,NP18,,Vacant Lot,^C1u,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS19,NP19,,Vacant Lot,^Cg,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS2,NP2,,Vacant Lot,^A,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS20,NP20,,Vacant Lot,^A,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS3,NP3,,Vacant Lot,^A1u,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS4,NP4,,Vacant Lot,^A1,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS5,NP5,,Park,^A1,Anthropogenic,Passive,Public,Disturbed
New Orleans,NS6,NP6,,Vacant Lot,^A1,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS7,NP7,,Vacant Lot,^Au,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS8,NP8,,Vacant Lot,^A,Anthropogenic,Passive,Private,Disturbed
New Orleans,NS9,NP9,,Vacant Lot,^Au,Anthropogenic,Passive,Private,Disturbed
Omaha,OS1,OP1,Adams,,^A1u,Anthropogenic,Passive,Public,Disturbed
